Architecture,Modality,Radionuclide,Served patients,A_admin (MBq),Elapsed EOB->Admin (min),Retained fraction,A_release_required (MBq),A_EOB_required (MBq),Installed EOB capacity,Production feasible
MANUAL_CONVENTIONAL,PET,F-18,140,51800.0,62.0,0.676113,76614.376,76614.376,NOT_CALIBRATED,NOT_CALIBRATED
MANUAL_CONVENTIONAL,SPECT,Tc-99m,60,44400.0,62.0,0.887475,50029.599,50029.599,NOT_CALIBRATED,NOT_CALIBRATED
AUTOMATED_CONVENTIONAL,PET,F-18,140,51800.0,62.0,0.676113,76614.376,76614.376,NOT_CALIBRATED,NOT_CALIBRATED
AUTOMATED_CONVENTIONAL,SPECT,Tc-99m,60,44400.0,62.0,0.887475,50029.599,50029.599,NOT_CALIBRATED,NOT_CALIBRATED
MRT,PET,F-18,140,51800.0,45.5,0.750337,69035.666,69035.666,NOT_CALIBRATED,NOT_CALIBRATED
MRT,SPECT,Tc-99m,60,44400.0,45.5,0.916122,48465.179,48465.179,NOT_CALIBRATED,NOT_CALIBRATED
HYBRID,PET,F-18,140,51800.0,45.5,0.750337,69035.666,69035.666,NOT_CALIBRATED,NOT_CALIBRATED
HYBRID,SPECT,Tc-99m,60,44400.0,45.5,0.916122,48465.179,48465.179,NOT_CALIBRATED,NOT_CALIBRATED
