OPEX Component,MANUAL_CONVENTIONAL,AUTOMATED_CONVENTIONAL,MRT,HYBRID
transport_labor_opex,503880.00000000006,503880.00000000006,125970.00000000001,125970.00000000001
clinical_labor_opex,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED
production_opex,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED
maintenance_opex,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED
electricity_opex,0.0,0.0,3.0696200000000005,3.06764
consumables_opex,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED
carrier_or_vehicle_opex,0.0,41412.0,0.0,0.0
other_operating_opex,0.0,0.0,0.0,0.0
