k_conv,manual_zone_requested,mrt_zone_requested,manual_zone_active,mrt_zone_active,feasible,lifecycle_cost,rejection_reason
1,[1],"[2, 3, 4, 5, 6, 7, 8]",[1],"[2, 3, 4, 5, 6, 7, 8]",True,73191676.94621897,
2,"[1, 2]","[3, 4, 5, 6, 7, 8]","[1, 2]","[3, 4, 5, 6, 7, 8]",True,76347204.55827028,
3,"[1, 2, 3]","[4, 5, 6, 7, 8]","[1, 2, 3]","[4, 5, 6, 7, 8]",True,79502732.17032161,
4,"[1, 2, 3, 4]","[5, 6, 7, 8]","[1, 2, 3, 4]","[5, 6, 7, 8]",True,83012155.98756294,
5,"[1, 2, 3, 4, 5]","[6, 7, 8]","[1, 2, 3, 4, 5]","[6, 7, 8]",True,85258463.03656343,
6,"[1, 2, 3, 4, 5, 6]","[7, 8]","[1, 2, 3, 4, 5, 6]","[7, 8]",True,79568632.4785461,
7,"[1, 2, 3, 4, 5, 6, 7]",[8],"[1, 2, 3, 4, 5, 6, 7]",[8],True,79568632.4785461,
