Service Class,Display Name,Default Priority,Default Speed (m/s),Color,Missions (Manual),Missions (Automated),Missions (Hybrid),Missions (MRT Dominant)
RADIOPHARMACEUTICAL_NUCLEAR,Radiopharmaceutical / Nuclear,PRIORITY_1_NUCLEAR_CRITICAL,10.0,VIOLET,9,9,9,9
SPECIMEN_BLOOD,Specimen / Blood,PRIORITY_2_CLINICAL_URGENT,7.0,BLUE,6,6,6,6
PHARMACY_INFUSION,Pharmacy / Infusion,PRIORITY_2_CLINICAL_URGENT,NOT_CALIBRATED,TEAL,6,6,6,6
STERILE_CLEAN_SUPPLY,Sterile / Clean Supply,PRIORITY_3_SCHEDULED_CLINICAL,NOT_CALIBRATED,AMBER,6,6,6,6
LAUNDRY_CLEAN_LINEN,Laundry / Clean Linen,PRIORITY_4_ROUTINE_GENERAL,1.0,GOLD,6,6,6,6
