Carrier ID,Hardware Class,Mission ID,Service Class,Empty Mass (kg),Payload Mass (kg),Outbound Loaded Mass (kg),Outbound Distance (m),Outbound Time (min),Outbound Energy (J),Return Moving Mass (kg),Return Distance (m),Return Time (min),Return Energy (J),Return Mode
MRT-LIGHT-CARRIER-001,GENERAL_LIGHT_CARRIER,MSN-EVT-CAL-LOAD-SPECIMEN_BLOOD-0003,SPECIMEN_BLOOD,5.0,2.0,7.0,300.0,0.7142857142857142,171.5,5.0,300.0,0.7142857142857142,122.5,RETURN_TO_SOURCE
MRT-LIGHT-CARRIER-001,GENERAL_LIGHT_CARRIER,MSN-EVT-CAL-LOAD-SPECIMEN_BLOOD-0015,SPECIMEN_BLOOD,5.0,2.0,7.0,300.0,0.7142857142857142,171.5,5.0,300.0,0.7142857142857142,122.5,RETURN_TO_SOURCE
MRT-LIGHT-CARRIER-001,GENERAL_LIGHT_CARRIER,MSN-EVT-CAL-LOAD-CLEAN_LINEN-0001,LAUNDRY_CLEAN_LINEN,5.0,12.0,17.0,300.0,5.0,8.5,5.0,300.0,5.0,2.5,RETURN_TO_SOURCE
MRT-LIGHT-CARRIER-001,GENERAL_LIGHT_CARRIER,MSN-EVT-CAL-LOAD-CLEAN_LINEN-0013,LAUNDRY_CLEAN_LINEN,5.0,12.0,17.0,300.0,5.0,8.5,5.0,300.0,5.0,2.5,RETURN_TO_SOURCE
