Mission ID,Resource Type,Total Minutes,Residual Last-Mile Minutes,Route Status,Event Time,Old State,New State,Reason
MSN-EVT-CAL-LOAD-PHARMACY_INFUSION-0002,AGV_AMR,15.704545454545453,9.454545454545453,ROUTE_NOT_CALIBRATED,2026-02-03T07:00:00,CREATED,DISPATCHED,trigger_event=EVT-CAL-LOAD-PHARMACY_INFUSION-0002; resource_type=AGV_AMR
MSN-EVT-CAL-LOAD-PHARMACY_INFUSION-0002,AGV_AMR,15.704545454545453,9.454545454545453,ROUTE_NOT_CALIBRATED,2026-02-03T07:15:42.272727,DISPATCHED,COMPLETED,route_status=ROUTE_NOT_CALIBRATED
